# SYNTHETIC MRU DATA - generated by generate_sample_mru.py (NOT measured).
# seed=20240705 fs=4.0Hz duration=1800.0s Hs=3.5m Tp=11.0s gamma=2.5
time_s,heave_m,pitch_deg
1.425000e+01,-1.690052e+00,-2.127492e+00
1.450000e+01,-1.757438e+00,-2.546871e+00
1.475000e+01,-1.778892e+00,-2.947125e+00
1.500000e+01,-1.752846e+00,-3.324212e+00
1.525000e+01,-1.679388e+00,-3.673116e+00
1.550000e+01,-1.560351e+00,-3.987746e+00
1.575000e+01,-1.399309e+00,-4.260922e+00
1.600000e+01,-1.201415e+00,-4.484542e+00
1.625000e+01,-9.730879e-01,-4.649901e+00
1.650000e+01,-7.215847e-01,-4.748145e+00
1.675000e+01,-4.545555e-01,-4.770794e+00
1.700000e+01,-1.796703e-01,-4.710298e+00
1.725000e+01,9.562752e-02,-4.560631e+00
1.750000e+01,3.642479e-01,-4.317956e+00
1.775000e+01,6.195268e-01,-3.981359e+00
1.800000e+01,8.553263e-01,-3.553613e+00
1.825000e+01,1.066217e+00,-3.041806e+00
1.850000e+01,1.247732e+00,-2.457633e+00
1.875000e+01,1.396637e+00,-1.817122e+00
1.900000e+01,1.511089e+00,-1.139665e+00
1.925000e+01,1.590641e+00,-4.464005e-01
1.950000e+01,1.636029e+00,2.418187e-01
1.975000e+01,1.648813e+00,9.064606e-01
2.000000e+01,1.630960e+00,1.532904e+00
2.025000e+01,1.584471e+00,2.111201e+00
2.050000e+01,1.511153e+00,2.635858e+00
2.075000e+01,1.412539e+00,3.104718e+00
2.100000e+01,1.289961e+00,3.517322e+00
2.125000e+01,1.144699e+00,3.873217e+00
2.150000e+01,9.781647e-01,4.170690e+00
2.175000e+01,7.920712e-01,4.406261e+00
2.200000e+01,5.885615e-01,4.574979e+00
2.225000e+01,3.702919e-01,4.671376e+00
2.250000e+01,1.404632e-01,4.690695e+00
2.275000e+01,-9.719757e-02,4.630033e+00
2.300000e+01,-3.385004e-01,4.489084e+00
2.325000e+01,-5.788869e-01,4.270350e+00
2.350000e+01,-8.135372e-01,3.978872e+00
2.375000e+01,-1.037473e+00,3.621640e+00
2.400000e+01,-1.245651e+00,3.206927e+00
2.425000e+01,-1.433067e+00,2.743690e+00
2.450000e+01,-1.594882e+00,2.241148e+00
2.475000e+01,-1.726594e+00,1.708546e+00
2.500000e+01,-1.824246e+00,1.155029e+00
2.525000e+01,-1.884607e+00,5.895995e-01
2.550000e+01,-1.905296e+00,2.108780e-02
2.575000e+01,-1.884776e+00,-5.418684e-01
2.600000e+01,-1.822249e+00,-1.090848e+00
2.625000e+01,-1.717494e+00,-1.617682e+00
2.650000e+01,-1.570791e+00,-2.114521e+00
2.675000e+01,-1.383000e+00,-2.573932e+00
2.700000e+01,-1.155870e+00,-2.989014e+00
2.725000e+01,-8.924911e-01,-3.353493e+00
2.750000e+01,-5.977507e-01,-3.661735e+00
2.775000e+01,-2.785925e-01,-3.908647e+00
2.800000e+01,5.607302e-02,-4.089512e+00
2.825000e+01,3.958551e-01,-4.199839e+00
2.850000e+01,7.296727e-01,-4.235394e+00
2.875000e+01,1.046652e+00,-4.192492e+00
2.900000e+01,1.336908e+00,-4.068608e+00
2.925000e+01,1.592040e+00,-3.863155e+00
2.950000e+01,1.805304e+00,-3.578231e+00
2.975000e+01,1.971521e+00,-3.219059e+00
3.000000e+01,2.086880e+00,-2.793949e+00
3.025000e+01,2.148774e+00,-2.313754e+00
3.050000e+01,2.155751e+00,-1.790996e+00
3.075000e+01,2.107565e+00,-1.238940e+00
3.100000e+01,2.005277e+00,-6.709188e-01
3.125000e+01,1.851313e+00,-1.000419e-01
3.150000e+01,1.649464e+00,4.607255e-01
3.175000e+01,1.404840e+00,9.983582e-01
3.200000e+01,1.123822e+00,1.499731e+00
3.225000e+01,8.140444e-01,1.951970e+00
3.250000e+01,4.843709e-01,2.343235e+00
3.275000e+01,1.447800e-01,2.663748e+00
3.300000e+01,-1.939429e-01,2.906750e+00
3.325000e+01,-5.207574e-01,3.069058e+00
3.350000e+01,-8.251177e-01,3.151036e+00
3.375000e+01,-1.097768e+00,3.156037e+00
3.400000e+01,-1.331379e+00,3.089554e+00
3.425000e+01,-1.520860e+00,2.958408e+00
3.450000e+01,-1.663280e+00,2.770245e+00
3.475000e+01,-1.757469e+00,2.533419e+00
3.500000e+01,-1.803505e+00,2.257132e+00
3.525000e+01,-1.802281e+00,1.951573e+00
3.550000e+01,-1.755299e+00,1.627795e+00
3.575000e+01,-1.664715e+00,1.297198e+00
3.600000e+01,-1.533523e+00,9.706957e-01
3.625000e+01,-1.365714e+00,6.577832e-01
3.650000e+01,-1.166269e+00,3.658018e-01
3.675000e+01,-9.409509e-01,9.961521e-02
3.700000e+01,-6.959703e-01,-1.382582e-01
3.725000e+01,-4.376636e-01,-3.471812e-01
3.750000e+01,-1.723244e-01,-5.278342e-01
3.775000e+01,9.376656e-02,-6.817734e-01
3.800000e+01,3.541746e-01,-8.112232e-01
3.825000e+01,6.021557e-01,-9.190635e-01
3.850000e+01,8.306682e-01,-1.008852e+00
3.875000e+01,1.032638e+00,-1.084699e+00
3.900000e+01,1.201447e+00,-1.150871e+00
3.925000e+01,1.331509e+00,-1.211155e+00
3.950000e+01,1.418758e+00,-1.268109e+00
3.975000e+01,1.460889e+00,-1.322435e+00
4.000000e+01,1.457326e+00,-1.372665e+00
4.025000e+01,1.408958e+00,-1.415256e+00
4.050000e+01,1.317799e+00,-1.445080e+00
4.075000e+01,1.186725e+00,-1.456173e+00
4.100000e+01,1.019364e+00,-1.442566e+00
4.125000e+01,8.201696e-01,-1.399051e+00
4.150000e+01,5.945758e-01,-1.321777e+00
4.175000e+01,3.491216e-01,-1.208684e+00
4.200000e+01,9.143590e-02,-1.059772e+00
4.225000e+01,-1.699705e-01,-8.772466e-01
4.250000e+01,-4.260876e-01,-6.655187e-01
4.275000e+01,-6.678938e-01,-4.310137e-01
4.300000e+01,-8.868557e-01,-1.817391e-01
4.325000e+01,-1.075362e+00,7.340756e-02
4.350000e+01,-1.227045e+00,3.255197e-01
4.375000e+01,-1.336979e+00,5.665992e-01
4.400000e+01,-1.401771e+00,7.902991e-01
4.425000e+01,-1.419575e+00,9.922908e-01
4.450000e+01,-1.390062e+00,1.170145e+00
4.475000e+01,-1.314363e+00,1.322758e+00
4.500000e+01,-1.195017e+00,1.449493e+00
4.525000e+01,-1.035913e+00,1.549332e+00
4.550000e+01,-8.422447e-01,1.620296e+00
4.575000e+01,-6.204377e-01,1.659345e+00
4.600000e+01,-3.780322e-01,1.662761e+00
4.625000e+01,-1.234844e-01,1.626882e+00
4.650000e+01,1.341361e-01,1.548907e+00
4.675000e+01,3.855547e-01,1.427516e+00
4.700000e+01,6.217754e-01,1.263131e+00
4.725000e+01,8.345831e-01,1.057805e+00
4.750000e+01,1.016996e+00,8.149026e-01
4.775000e+01,1.163598e+00,5.387819e-01
4.800000e+01,1.270720e+00,2.346673e-01
4.825000e+01,1.336445e+00,-9.122328e-02
4.850000e+01,1.360484e+00,-4.314084e-01
4.875000e+01,1.343972e+00,-7.769468e-01
4.900000e+01,1.289249e+00,-1.117541e+00
4.925000e+01,1.199691e+00,-1.442054e+00
4.950000e+01,1.079599e+00,-1.739380e+00
4.975000e+01,9.341528e-01,-1.999433e+00
5.000000e+01,7.693550e-01,-2.213954e+00
5.025000e+01,5.919141e-01,-2.376896e+00
5.050000e+01,4.089852e-01,-2.484286e+00
5.075000e+01,2.277548e-01,-2.533720e+00
5.100000e+01,5.489800e-02,-2.523719e+00
5.125000e+01,-1.039950e-01,-2.453275e+00
5.150000e+01,-2.448933e-01,-2.321774e+00
5.175000e+01,-3.655752e-01,-2.129294e+00
5.200000e+01,-4.655835e-01,-1.877153e+00
5.225000e+01,-5.459002e-01,-1.568412e+00
5.250000e+01,-6.084403e-01,-1.208153e+00
5.275000e+01,-6.555160e-01,-8.033854e-01
5.300000e+01,-6.894217e-01,-3.626831e-01
5.325000e+01,-7.122255e-01,1.043095e-01
5.350000e+01,-7.257684e-01,5.872887e-01
5.375000e+01,-7.317855e-01,1.075510e+00
5.400000e+01,-7.320260e-01,1.557819e+00
5.425000e+01,-7.282691e-01,2.022607e+00
5.450000e+01,-7.221980e-01,2.457844e+00
5.475000e+01,-7.151774e-01,2.851307e+00
5.500000e+01,-7.080288e-01,3.190999e+00
5.525000e+01,-7.009056e-01,3.465703e+00
5.550000e+01,-6.933194e-01,3.665502e+00
5.575000e+01,-6.842974e-01,3.782194e+00
5.600000e+01,-6.725947e-01,3.809548e+00
5.625000e+01,-6.568653e-01,3.743457e+00
5.650000e+01,-6.357342e-01,3.582099e+00
5.675000e+01,-6.077676e-01,3.326180e+00
5.700000e+01,-5.714006e-01,2.979276e+00
5.725000e+01,-5.248986e-01,2.548187e+00
5.750000e+01,-4.664084e-01,2.043159e+00
5.775000e+01,-3.941024e-01,1.477829e+00
5.800000e+01,-3.063730e-01,8.687925e-01
5.825000e+01,-2.020169e-01,2.348105e-01
5.850000e+01,-8.037311e-02,-4.042384e-01
5.875000e+01,5.857270e-02,-1.028479e+00
5.900000e+01,2.140676e-01,-1.619057e+00
5.925000e+01,3.844065e-01,-2.158932e+00
5.950000e+01,5.666809e-01,-2.633385e+00
5.975000e+01,7.565375e-01,-3.030306e+00
6.000000e+01,9.480767e-01,-3.340339e+00
6.025000e+01,1.134030e+00,-3.557013e+00
6.050000e+01,1.306281e+00,-3.676918e+00
6.075000e+01,1.456674e+00,-3.699941e+00
6.100000e+01,1.577942e+00,-3.629493e+00
6.125000e+01,1.664494e+00,-3.472596e+00
6.150000e+01,1.712859e+00,-3.239697e+00
6.175000e+01,1.721667e+00,-2.944130e+00
6.200000e+01,1.691217e+00,-2.601212e+00
6.225000e+01,1.622834e+00,-2.227086e+00
6.250000e+01,1.518239e+00,-1.837514e+00
6.275000e+01,1.379163e+00,-1.446821e+00
6.300000e+01,1.207283e+00,-1.067181e+00
6.325000e+01,1.004449e+00,-7.083047e-01
6.350000e+01,7.730415e-01,-3.774756e-01
6.375000e+01,5.162969e-01,-7.977438e-02
6.400000e+01,2.384670e-01,1.816755e-01
6.425000e+01,-5.521769e-02,4.055587e-01
6.450000e+01,-3.587344e-01,5.923135e-01
6.475000e+01,-6.655133e-01,7.440667e-01
6.500000e+01,-9.686633e-01,8.644057e-01
6.525000e+01,-1.261148e+00,9.578853e-01
6.550000e+01,-1.535930e+00,1.029290e+00
6.575000e+01,-1.786129e+00,1.082818e+00
6.600000e+01,-2.005205e+00,1.121447e+00
6.625000e+01,-2.187166e+00,1.146725e+00
6.650000e+01,-2.326752e+00,1.159090e+00
6.675000e+01,-2.419547e+00,1.158676e+00
6.700000e+01,-2.462005e+00,1.146309e+00
6.725000e+01,-2.451437e+00,1.124393e+00
6.750000e+01,-2.386024e+00,1.097350e+00
6.775000e+01,-2.264929e+00,1.071467e+00
6.800000e+01,-2.088526e+00,1.054180e+00
6.825000e+01,-1.858716e+00,1.052993e+00
6.850000e+01,-1.579209e+00,1.074305e+00
6.875000e+01,-1.255658e+00,1.122392e+00
6.900000e+01,-8.955574e-01,1.198716e+00
6.925000e+01,-5.079025e-01,1.301613e+00
6.950000e+01,-1.026704e-01,1.426351e+00
6.975000e+01,3.097451e-01,1.565491e+00
7.000000e+01,7.190266e-01,1.709521e+00
7.025000e+01,1.115281e+00,1.847687e+00
7.050000e+01,1.489237e+00,1.968942e+00
7.075000e+01,1.832348e+00,2.062892e+00
7.100000e+01,2.136869e+00,2.120570e+00
7.125000e+01,2.395961e+00,2.134892e+00
7.150000e+01,2.603835e+00,2.100738e+00
7.175000e+01,2.755886e+00,2.014695e+00
7.200000e+01,2.848784e+00,1.874650e+00
7.225000e+01,2.880486e+00,1.679434e+00
7.250000e+01,2.850187e+00,1.428717e+00
7.275000e+01,2.758256e+00,1.123217e+00
7.300000e+01,2.606215e+00,7.651255e-01
7.325000e+01,2.396792e+00,3.585624e-01
7.350000e+01,2.134027e+00,-9.014482e-02
7.375000e+01,1.823374e+00,-5.724992e-01
7.400000e+01,1.471714e+00,-1.078175e+00
7.425000e+01,1.087224e+00,-1.595537e+00
7.450000e+01,6.790837e-01,-2.112154e+00
7.475000e+01,2.570741e-01,-2.615187e+00
7.500000e+01,-1.688545e-01,-3.091622e+00
7.525000e+01,-5.889641e-01,-3.528439e+00
7.550000e+01,-9.940075e-01,-3.912845e+00
7.575000e+01,-1.375403e+00,-4.232691e+00
7.600000e+01,-1.725346e+00,-4.477042e+00
7.625000e+01,-2.036902e+00,-4.636806e+00
7.650000e+01,-2.304122e+00,-4.705248e+00
7.675000e+01,-2.522174e+00,-4.678267e+00
7.700000e+01,-2.687448e+00,-4.554404e+00
7.725000e+01,-2.797604e+00,-4.334666e+00
7.750000e+01,-2.851511e+00,-4.022334e+00
7.775000e+01,-2.849115e+00,-3.622876e+00
7.800000e+01,-2.791253e+00,-3.143988e+00
7.825000e+01,-2.679500e+00,-2.595686e+00
7.850000e+01,-2.516093e+00,-1.990269e+00
7.875000e+01,-2.303950e+00,-1.341993e+00
7.900000e+01,-2.046779e+00,-6.664050e-01
7.925000e+01,-1.749188e+00,2.058867e-02
7.950000e+01,-1.416760e+00,7.037129e-01
7.975000e+01,-1.056036e+00,1.369151e+00
8.000000e+01,-6.743811e-01,2.005036e+00
8.025000e+01,-2.797902e-01,2.601547e+00
8.050000e+01,1.193542e-01,3.150694e+00
8.075000e+01,5.145035e-01,3.645914e+00
8.100000e+01,8.971300e-01,4.081634e+00
8.125000e+01,1.258882e+00,4.452879e+00
8.150000e+01,1.591732e+00,4.754963e+00
8.175000e+01,1.888154e+00,4.983270e+00
8.200000e+01,2.141350e+00,5.133148e+00
8.225000e+01,2.345542e+00,5.199968e+00
8.250000e+01,2.496292e+00,5.179420e+00
8.275000e+01,2.590824e+00,5.068068e+00
8.300000e+01,2.628276e+00,4.864105e+00
8.325000e+01,2.609852e+00,4.568154e+00
8.350000e+01,2.538801e+00,4.183888e+00
8.375000e+01,2.420213e+00,3.718274e+00
8.400000e+01,2.260609e+00,3.181356e+00
8.425000e+01,2.067369e+00,2.585636e+00
8.450000e+01,1.848044e+00,1.945228e+00
8.475000e+01,1.609647e+00,1.275035e+00
8.500000e+01,1.358042e+00,5.901024e-01
8.525000e+01,1.097530e+00,-9.478282e-02
8.550000e+01,8.307271e-01,-7.653251e-01
8.575000e+01,5.587585e-01,-1.407929e+00
8.600000e+01,2.817451e-01,-2.009999e+00
8.625000e+01,-5.094574e-04,-2.560365e+00
8.650000e+01,-2.877644e-01,-3.049746e+00
8.675000e+01,-5.786642e-01,-3.471105e+00
8.700000e+01,-8.702637e-01,-3.819767e+00
8.725000e+01,-1.157837e+00,-4.093271e+00
8.750000e+01,-1.434992e+00,-4.290997e+00
8.775000e+01,-1.694048e+00,-4.413740e+00
8.800000e+01,-1.926619e+00,-4.463341e+00
8.825000e+01,-2.124287e+00,-4.442455e+00
8.850000e+01,-2.279285e+00,-4.354414e+00
8.875000e+01,-2.385129e+00,-4.203083e+00
8.900000e+01,-2.437126e+00,-3.992642e+00
8.925000e+01,-2.432751e+00,-3.727270e+00
8.950000e+01,-2.371875e+00,-3.410836e+00
8.975000e+01,-2.256817e+00,-3.046765e+00
9.000000e+01,-2.092212e+00,-2.638213e+00
9.025000e+01,-1.884697e+00,-2.188574e+00
9.050000e+01,-1.642399e+00,-1.702214e+00
9.075000e+01,-1.374292e+00,-1.185200e+00
9.100000e+01,-1.089485e+00,-6.457687e-01
9.125000e+01,-7.965483e-01,-9.436491e-02
9.150000e+01,-5.029891e-01,4.567572e-01
9.175000e+01,-2.149625e-01,9.942491e-01
9.200000e+01,6.276341e-02,1.504481e+00
9.225000e+01,3.266261e-01,1.974270e+00
9.250000e+01,5.739732e-01,2.391430e+00
9.275000e+01,8.027710e-01,2.745197e+00
9.300000e+01,1.011411e+00,3.026619e+00
9.325000e+01,1.198639e+00,3.229022e+00
9.350000e+01,1.363574e+00,3.348541e+00
9.375000e+01,1.505700e+00,3.384609e+00
9.400000e+01,1.624758e+00,3.340213e+00
9.425000e+01,1.720496e+00,3.221748e+00
9.450000e+01,1.792310e+00,3.038401e+00
9.475000e+01,1.838942e+00,2.801173e+00
9.500000e+01,1.858357e+00,2.521741e+00
9.525000e+01,1.847949e+00,2.211445e+00
9.550000e+01,1.805058e+00,1.880598e+00
9.575000e+01,1.727702e+00,1.538225e+00
9.600000e+01,1.615295e+00,1.192142e+00
9.625000e+01,1.469125e+00,8.492502e-01
9.650000e+01,1.292452e+00,5.158319e-01
9.675000e+01,1.090182e+00,1.977290e-01
9.700000e+01,8.682717e-01,-9.964796e-02
9.725000e+01,6.330499e-01,-3.714482e-01
9.750000e+01,3.906816e-01,-6.135684e-01
9.775000e+01,1.468852e-01,-8.228243e-01
9.800000e+01,-9.310296e-02,-9.970524e-01
9.825000e+01,-3.244358e-01,-1.135125e+00
9.850000e+01,-5.425886e-01,-1.236876e+00
9.875000e+01,-7.434276e-01,-1.302956e+00
9.900000e+01,-9.234219e-01,-1.334631e+00
9.925000e+01,-1.079902e+00,-1.333575e+00
9.950000e+01,-1.211226e+00,-1.301714e+00
9.975000e+01,-1.316729e+00,-1.241189e+00
1.000000e+02,-1.396450e+00,-1.154487e+00
1.002500e+02,-1.450707e+00,-1.044718e+00
1.005000e+02,-1.479691e+00,-9.159519e-01
1.007500e+02,-1.483219e+00,-7.734518e-01
1.010000e+02,-1.460745e+00,-6.236469e-01
1.012500e+02,-1.411578e+00,-4.737612e-01
1.015000e+02,-1.335236e+00,-3.311270e-01
1.017500e+02,-1.231771e+00,-2.023472e-01
1.020000e+02,-1.102002e+00,-9.254506e-02
1.022500e+02,-9.476225e-01,-4.921066e-03
1.025000e+02,-7.712328e-01,5.927240e-02
1.027500e+02,-5.763556e-01,1.003823e-01
1.030000e+02,-3.674554e-01,1.198073e-01
1.032500e+02,-1.499228e-01,1.194754e-01
1.035000e+02,7.005729e-02,1.015243e-01
1.037500e+02,2.858211e-01,6.823501e-02
1.040000e+02,4.907191e-01,2.214961e-02
1.042500e+02,6.786863e-01,-3.377668e-02
1.045000e+02,8.447198e-01,-9.612008e-02
1.047500e+02,9.851001e-01,-1.610818e-01
1.050000e+02,1.097280e+00,-2.246856e-01
1.052500e+02,1.179502e+00,-2.829800e-01
1.055000e+02,1.230332e+00,-3.321683e-01
1.057500e+02,1.248335e+00,-3.686631e-01
1.060000e+02,1.232078e+00,-3.891437e-01
1.062500e+02,1.180493e+00,-3.907230e-01
1.065000e+02,1.093477e+00,-3.712736e-01
1.067500e+02,9.725011e-01,-3.298539e-01
1.070000e+02,8.209825e-01,-2.670689e-01
1.072500e+02,6.442665e-01,-1.851732e-01
1.075000e+02,4.492241e-01,-8.780704e-02
1.077500e+02,2.435944e-01,2.058298e-02
1.080000e+02,3.527684e-02,1.354165e-01
1.082500e+02,-1.682470e-01,2.524520e-01
1.085000e+02,-3.602768e-01,3.678381e-01
1.087500e+02,-5.350623e-01,4.777246e-01
1.090000e+02,-6.878650e-01,5.776537e-01
1.092500e+02,-8.150054e-01,6.621098e-01
1.095000e+02,-9.139342e-01,7.245865e-01
1.097500e+02,-9.832984e-01,7.583284e-01
1.100000e+02,-1.022935e+00,7.575994e-01
1.102500e+02,-1.033733e+00,7.190680e-01
1.105000e+02,-1.017371e+00,6.428044e-01
1.107500e+02,-9.759903e-01,5.325132e-01
1.110000e+02,-9.119017e-01,3.949261e-01
1.112500e+02,-8.274299e-01,2.386124e-01
1.115000e+02,-7.249062e-01,7.267211e-02
1.117500e+02,-6.067766e-01,-9.423119e-02
1.120000e+02,-4.757333e-01,-2.542600e-01
1.122500e+02,-3.347775e-01,-4.002923e-01
1.125000e+02,-1.871707e-01,-5.256380e-01
1.127500e+02,-3.628809e-02,-6.239737e-01
1.130000e+02,1.145602e-01,-6.897350e-01
1.132500e+02,2.622718e-01,-7.189200e-01
1.135000e+02,4.040151e-01,-7.099955e-01
1.137500e+02,5.372194e-01,-6.644832e-01
1.140000e+02,6.595299e-01,-5.869123e-01
1.142500e+02,7.687769e-01,-4.840882e-01
1.145000e+02,8.629834e-01,-3.639183e-01
1.147500e+02,9.404073e-01,-2.342084e-01
1.150000e+02,9.995941e-01,-1.018146e-01
1.152500e+02,1.039424e+00,2.767291e-02
1.155000e+02,1.059155e+00,1.498020e-01
1.157500e+02,1.058486e+00,2.609691e-01
1.160000e+02,1.037660e+00,3.582672e-01
1.162500e+02,9.975926e-01,4.396208e-01
1.165000e+02,9.399691e-01,5.041293e-01
1.167500e+02,8.672337e-01,5.523698e-01
1.170000e+02,7.823943e-01,5.863931e-01
1.172500e+02,6.886355e-01,6.092906e-01
1.175000e+02,5.888125e-01,6.244413e-01
1.177500e+02,4.849669e-01,6.347243e-01
1.180000e+02,3.780282e-01,6.420183e-01
1.182500e+02,2.678106e-01,6.471659e-01
1.185000e+02,1.533223e-01,6.503452e-01
1.187500e+02,3.329251e-02,6.515827e-01
1.190000e+02,-9.324828e-02,6.510785e-01
1.192500e+02,-2.265042e-01,6.491303e-01
1.195000e+02,-3.656771e-01,6.456749e-01
1.197500e+02,-5.089760e-01,6.396921e-01
1.200000e+02,-6.538111e-01,6.288155e-01
1.202500e+02,-7.970711e-01,6.094028e-01
1.205000e+02,-9.353949e-01,5.771041e-01
1.207500e+02,-1.065393e+00,5.277204e-01
1.210000e+02,-1.183814e+00,4.580146e-01
1.212500e+02,-1.287681e+00,3.661860e-01
1.215000e+02,-1.374389e+00,2.519033e-01
1.217500e+02,-1.441761e+00,1.160305e-01
1.220000e+02,-1.488025e+00,-3.968372e-02
1.222500e+02,-1.511705e+00,-2.127037e-01
1.225000e+02,-1.511457e+00,-3.995165e-01
1.227500e+02,-1.485937e+00,-5.953024e-01
1.230000e+02,-1.433786e+00,-7.937618e-01
1.232500e+02,-1.353804e+00,-9.873700e-01
1.235000e+02,-1.245281e+00,-1.168149e+00
1.237500e+02,-1.108408e+00,-1.328781e+00
1.240000e+02,-9.446041e-01,-1.463707e+00
1.242500e+02,-7.566235e-01,-1.569807e+00
1.245000e+02,-5.483894e-01,-1.646434e+00
1.247500e+02,-3.245825e-01,-1.694820e+00
1.250000e+02,-9.012392e-02,-1.717138e+00
1.252500e+02,1.502857e-01,-1.715595e+00
1.255000e+02,3.924389e-01,-1.691854e+00
1.257500e+02,6.326577e-01,-1.646911e+00
1.260000e+02,8.676364e-01,-1.581278e+00
1.262500e+02,1.094197e+00,-1.495275e+00
1.265000e+02,1.309070e+00,-1.389175e+00
1.267500e+02,1.508760e+00,-1.263159e+00
1.270000e+02,1.689533e+00,-1.117162e+00
1.272500e+02,1.847460e+00,-9.508121e-01
1.275000e+02,1.978521e+00,-7.636067e-01
1.277500e+02,2.078709e+00,-5.553557e-01
1.280000e+02,2.144188e+00,-3.267459e-01
1.282500e+02,2.171502e+00,-7.979249e-02
1.285000e+02,2.157877e+00,1.820217e-01
1.287500e+02,2.101561e+00,4.539904e-01
1.290000e+02,2.002147e+00,7.307153e-01
1.292500e+02,1.860776e+00,1.006723e+00
1.295000e+02,1.680155e+00,1.276960e+00
1.297500e+02,1.464361e+00,1.537062e+00
1.300000e+02,1.218479e+00,1.783398e+00
1.302500e+02,9.481488e-01,2.012986e+00
1.305000e+02,6.591427e-01,2.223369e+00
1.307500e+02,3.570439e-01,2.412461e+00
1.310000e+02,4.707563e-02,2.578320e+00
1.312500e+02,-2.659177e-01,2.718783e+00
1.315000e+02,-5.773716e-01,2.830979e+00
1.317500e+02,-8.828310e-01,2.910861e+00
1.320000e+02,-1.177763e+00,2.952997e+00
1.322500e+02,-1.457404e+00,2.950824e+00
1.325000e+02,-1.716692e+00,2.897468e+00
1.327500e+02,-1.950312e+00,2.786939e+00
1.330000e+02,-2.152871e+00,2.615377e+00
1.332500e+02,-2.319178e+00,2.381918e+00
1.335000e+02,-2.444556e+00,2.088871e+00
1.337500e+02,-2.525122e+00,1.741183e+00
1.340000e+02,-2.557959e+00,1.345438e+00
1.342500e+02,-2.541163e+00,9.088133e-01
1.345000e+02,-2.473801e+00,4.384281e-01
1.347500e+02,-2.355857e+00,-5.871618e-02
1.350000e+02,-2.188257e+00,-5.752641e-01
1.352500e+02,-1.972996e+00,-1.102818e+00
1.355000e+02,-1.713362e+00,-1.631415e+00
1.357500e+02,-1.414136e+00,-2.149448e+00
1.360000e+02,-1.081664e+00,-2.644059e+00
1.362500e+02,-7.237037e-01,-3.101855e+00
1.365000e+02,-3.490446e-01,-3.509648e+00
1.367500e+02,3.302318e-02,-3.855027e+00
1.370000e+02,4.132508e-01,-4.126706e+00
1.372500e+02,7.828577e-01,-4.314791e+00
1.375000e+02,1.133776e+00,-4.411143e+00
